stopword_clean_content,intensity,stopword_clean_count,segmented_content,expanded_content,spell_checked_content,stem_lemma_content,stem_lemma_count
true relationship someone accepts past supports present loves encourages future,happiness,10,true relationship someone accepts past supports present loves encourages future,true relationship someone accepts past supports present loves encourages future,true relationship someone accepts past supports present loves encourages future,true relationship someon accept past support present love encourag futur,10
love hate way act sometimes,happiness,5,love hate way act sometimes,love hate way act sometimes,love hate way act sometimes,love hate way act sometim,5
hardest thing talking someone used talk everyday,happiness,7,hardest thing talking someone used talk everyday,hardest thing talking someone used talk everyday,hardest thing talking someone used talk everyday,hardest thing talk someon use talk everyday,7
dont mean anything mean everything,happiness,5,dont mean anything mean everything,do not mean anything mean everything,do not mean anything mean everything,do not mean anyth everyth,5
distance test see far love really,happiness,6,distance test see far love really,distance test see far love really,distance test see far love really,distanc test see far love realli,6
behind every beautiful girl ugly relationship made scared love,happiness,9,behind every beautiful girl ugly relationship made scared love,behind every beautiful girl ugly relationship made scared love,behind every beautiful girl ugly relationship made scared love,behind everi beauti girl ugli relationship made scare love,9
close anymore doesnt mean dont care,happiness,6,close anymore doesnt mean dont care,close anymore does not mean do not care,close anymore does not mean do not care,close anymor doe not mean do care,7
relationships sit around nothingbut still fun youre together,happiness,8,relationships sit around nothing but still fun your e together,relationships sit around nothing but still fun your e together,relationships sit around nothing but still fun your e together,relationship sit around noth but still fun your e togeth,10
dont make option made priority,happiness,5,dont make option made priority,do not make option made priority,do not make option made priority,do not make option made prioriti,6
love like circle end,happiness,4,love like circle end,love like circle end,love like circle end,love like circl end,4
main rules relationships dont lie dont cheat dont make promises cant keep,happiness,12,main rules relationships dont lie dont cheat dont make promises cant keep,main rules relationships do not lie do not cheat do not make promises cannot keep,main rules relationships do not lie do not cheat do not make promises can not keep,main rule relationship do not lie cheat make promis can keep,11
